Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	lnL
4	0.022845	0.029524	0.005717	0.002399	-3531.935
8	0.022845	0.028502	0.005717	0.002399	-3523.360
12	0.022845	0.029557	0.005615	0.002442	-3526.366
16	0.021498	0.029557	0.006072	0.002258	-3544.572
20	0.020478	0.028155	0.006230	0.001997	-3545.550
24	0.024115	0.032856	0.005434	0.002431	-3560.903
28	0.029811	0.040370	0.006971	0.002896	-3557.683
32	0.029989	0.040370	0.006029	0.002961	-3559.765
36	0.033390	0.047792	0.006903	0.003567	-3566.869
40	0.033390	0.049518	0.008274	0.003567	-3575.399
44	0.031275	0.046382	0.005891	0.003467	-3540.891
48	0.030747	0.044717	0.006828	0.003535	-3563.546
52	0.025581	0.036627	0.005593	0.002895	-3556.000
56	0.032372	0.048652	0.007660	0.003660	-3550.548
60	0.029110	0.044839	0.006648	0.003410	-3545.349
64	0.023575	0.036896	0.005384	0.002762	-3573.451
68	0.027329	0.043852	0.005308	0.003209	-3562.286
72	0.023756	0.037807	0.004614	0.002790	-3558.105
76	0.021400	0.034058	0.004230	0.002470	-3534.360
80	0.022306	0.037470	0.004409	0.002574	-3531.543
84	0.014070	0.023634	0.002781	0.001624	-3537.732
88	0.016622	0.027639	0.003023	0.002085	-3521.905
92	0.014985	0.026649	0.004103	0.001803	-3531.659
96	0.018015	0.029049	0.004475	0.002168	-3532.227
100	0.014560	0.023330	0.003725	0.001804	-3534.067
104	0.014560	0.023330	0.003685	0.001823	-3522.672
108	0.014560	0.023940	0.004032	0.001666	-3524.642
112	0.014560	0.023940	0.004022	0.001670	-3523.831
116	0.014211	0.022458	0.003926	0.001630	-3529.786
120	0.018095	0.025262	0.004669	0.001939	-3509.173
124	0.015922	0.023600	0.004387	0.001597	-3527.509
128	0.016577	0.025725	0.004568	0.001663	-3526.301
132	0.018018	0.027962	0.006235	0.001841	-3538.382
136	0.014635	0.022712	0.005103	0.001496	-3538.323
140	0.017050	0.027634	0.007229	0.001869	-3543.416
144	0.017581	0.028360	0.007229	0.001869	-3545.080
148	0.016307	0.028360	0.007324	0.001869	-3529.375
152	0.015830	0.026637	0.007229	0.001784	-3541.896
156	0.015830	0.026637	0.007229	0.001784	-3554.356
160	0.015830	0.026637	0.008185	0.001784	-3525.050
164	0.015830	0.026637	0.008498	0.001799	-3536.799
168	0.016636	0.027993	0.008423	0.001891	-3539.460
172	0.015229	0.025626	0.007340	0.001818	-3542.576
176	0.015229	0.025626	0.006821	0.001956	-3544.435
180	0.011936	0.019224	0.004220	0.001518	-3543.652
184	0.014268	0.020749	0.005412	0.001691	-3526.046
188	0.014268	0.021706	0.004165	0.001691	-3528.879
192	0.015890	0.024174	0.004697	0.001859	-3531.831
196	0.015890	0.023640	0.004697	0.001859	-3526.414
200	0.019267	0.029265	0.005695	0.002254	-3530.770
204	0.016277	0.023741	0.005141	0.001904	-3518.240
208	0.014596	0.021290	0.004703	0.001708	-3541.598
212	0.021947	0.032011	0.007072	0.002568	-3519.980
216	0.024097	0.036845	0.008281	0.002905	-3523.082
220	0.019839	0.029630	0.006872	0.002373	-3527.637
224	0.016535	0.024694	0.005874	0.001907	-3534.879
228	0.019627	0.029108	0.006550	0.002410	-3520.685
232	0.019627	0.029108	0.005346	0.002410	-3527.580
236	0.019627	0.029108	0.005669	0.002273	-3548.294
240	0.020122	0.031479	0.007457	0.002352	-3536.403
244	0.019207	0.028457	0.007403	0.002291	-3522.602
248	0.017267	0.025583	0.006343	0.002060	-3530.051
252	0.019080	0.024460	0.006343	0.002060	-3527.443
256	0.018922	0.024460	0.007229	0.002136	-3530.151
260	0.016969	0.021282	0.005359	0.001877	-3545.890
264	0.022765	0.024697	0.005847	0.002336	-3528.530
268	0.020850	0.024697	0.007406	0.002177	-3517.488
272	0.022440	0.026580	0.007971	0.002343	-3533.252
276	0.022440	0.027369	0.007971	0.002343	-3532.044
280	0.024452	0.029823	0.007102	0.002605	-3542.862
284	0.025250	0.027805	0.006484	0.002525	-3533.035
288	0.020500	0.022574	0.004188	0.002187	-3534.961
292	0.022174	0.025437	0.007025	0.002338	-3520.565
296	0.021037	0.026693	0.006815	0.002410	-3521.722
300	0.022043	0.028809	0.007094	0.002542	-3528.170
304	0.019382	0.025322	0.007824	0.002229	-3523.299
308	0.019536	0.023740	0.006219	0.002434	-3522.513
312	0.022693	0.026172	0.008798	0.002468	-3519.101
316	0.025320	0.030589	0.008745	0.003019	-3542.285
320	0.025320	0.029694	0.008141	0.003019	-3550.286
324	0.024117	0.028282	0.007444	0.002995	-3524.688
328	0.025605	0.029978	0.008351	0.003010	-3530.685
332	0.022446	0.026145	0.007320	0.002638	-3525.211
336	0.025265	0.029464	0.009254	0.002970	-3532.009
340	0.025160	0.027526	0.009485	0.002874	-3524.350
344	0.031707	0.036223	0.010364	0.003482	-3523.510
348	0.026049	0.030656	0.009200	0.002861	-3532.205
352	0.022679	0.026690	0.008663	0.002424	-3534.657
356	0.023585	0.027092	0.007417	0.002570	-3537.790
360	0.028209	0.032310	0.007818	0.002967	-3544.823
364	0.025066	0.030504	0.006975	0.002964	-3530.975
368	0.027117	0.031760	0.007960	0.003031	-3540.662
372	0.024082	0.028737	0.007569	0.002861	-3532.980
376	0.028100	0.033531	0.008681	0.003396	-3530.076
380	0.026757	0.029758	0.007584	0.003171	-3544.221
384	0.021614	0.025252	0.006481	0.002421	-3545.224
388	0.020412	0.022736	0.006263	0.002031	-3545.348
392	0.021253	0.023673	0.006340	0.002176	-3536.302
396	0.021253	0.023673	0.006340	0.002176	-3523.327
400	0.021253	0.023673	0.006340	0.002176	-3546.993
404	0.027221	0.030692	0.007321	0.002635	-3527.883
408	0.028576	0.031444	0.007197	0.002680	-3543.700
412	0.035559	0.037858	0.010054	0.002877	-3547.561
416	0.035911	0.038233	0.010340	0.003227	-3547.808
420	0.035911	0.038233	0.010340	0.003227	-3528.275
424	0.024533	0.026637	0.006586	0.002499	-3526.779
428	0.023896	0.025346	0.008177	0.002268	-3522.058
432	0.024296	0.025771	0.007819	0.002452	-3523.898
436	0.022678	0.025175	0.006788	0.002169	-3526.824
440	0.020688	0.026844	0.005337	0.002243	-3534.984
444	0.020688	0.027918	0.005337	0.002243	-3538.349
448	0.016992	0.021723	0.004794	0.001951	-3545.506
452	0.019087	0.024373	0.006143	0.002104	-3551.956
456	0.017220	0.020765	0.004664	0.001804	-3534.520
460	0.016372	0.022182	0.004664	0.001804	-3557.431
464	0.013574	0.018391	0.003476	0.001560	-3518.672
468	0.014701	0.019918	0.004129	0.001540	-3513.232
472	0.023184	0.031411	0.006512	0.002429	-3512.793
476	0.022647	0.030683	0.007538	0.002373	-3528.922
480	0.023728	0.030683	0.007208	0.002481	-3531.263
484	0.025059	0.030683	0.008056	0.002599	-3538.285
488	0.019972	0.023686	0.006434	0.002068	-3527.951
492	0.016901	0.020991	0.005839	0.001632	-3535.666
496	0.019181	0.028100	0.006527	0.001880	-3553.644
500	0.019181	0.028931	0.006192	0.001982	-3552.046
504	0.017555	0.026863	0.006835	0.001814	-3555.769
508	0.017250	0.024617	0.006539	0.001677	-3547.065
512	0.015244	0.021755	0.006547	0.001527	-3521.147
516	0.016698	0.023666	0.005804	0.001673	-3537.654
520	0.016698	0.025018	0.005804	0.001673	-3526.238
524	0.017166	0.025564	0.007047	0.001481	-3550.727
528	0.017053	0.025395	0.007001	0.001471	-3540.152
532	0.017053	0.025395	0.006288	0.001638	-3532.544
536	0.017053	0.025395	0.005468	0.001638	-3538.339
540	0.017053	0.025395	0.005468	0.001638	-3552.387
544	0.016803	0.023747	0.004273	0.001528	-3559.557
548	0.021065	0.031677	0.005700	0.002039	-3553.919
552	0.021479	0.034600	0.007601	0.002227	-3568.749
556	0.022436	0.036854	0.007948	0.002324	-3555.464
560	0.022420	0.034644	0.007798	0.002280	-3545.002
564	0.022420	0.034644	0.008726	0.002144	-3531.498
568	0.020712	0.033055	0.007796	0.002185	-3548.510
572	0.020736	0.032186	0.008289	0.002135	-3551.816
576	0.020736	0.032186	0.007277	0.002135	-3564.278
