Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
16000	0.020388	0.036619	0.001430	0.004186	1.542217	-3534.226
16004	0.021805	0.033790	0.001795	0.004259	2.069474	-3518.986
16008	0.017217	0.032855	0.000813	0.003833	1.703984	-3526.199
16012	0.018673	0.024980	0.000989	0.003833	1.799427	-3512.529
16016	0.023008	0.028088	0.000933	0.004656	1.326483	-3516.621
16020	0.017552	0.024089	0.001064	0.003534	2.860032	-3508.416
16024	0.018609	0.024508	0.000997	0.003903	1.448840	-3518.154
16028	0.019075	0.030977	0.001147	0.003903	2.670552	-3516.251
16032	0.015486	0.032976	0.001527	0.003903	2.695010	-3515.213
16036	0.016222	0.035597	0.001502	0.003903	2.391948	-3497.454
16040	0.012502	0.019961	0.001280	0.003254	2.391948	-3512.438
16044	0.012516	0.021797	0.001175	0.003000	2.391948	-3528.359
16048	0.012435	0.020312	0.001091	0.003000	2.318038	-3491.626
16052	0.014259	0.019392	0.000792	0.003047	2.070406	-3493.260
16056	0.015973	0.028459	0.000936	0.003493	2.737247	-3503.188
16060	0.015113	0.022078	0.001522	0.003493	1.668713	-3486.990
16064	0.014488	0.018455	0.001034	0.002861	2.027438	-3498.461
16068	0.015976	0.025720	0.001300	0.003171	2.579897	-3506.038
16072	0.016774	0.022255	0.001900	0.003115	2.579897	-3512.796
16076	0.018358	0.025998	0.001264	0.003938	1.980647	-3502.852
16080	0.021167	0.026177	0.001175	0.003741	2.278414	-3520.362
16084	0.026333	0.034488	0.001395	0.004759	2.278414	-3484.013
16088	0.024013	0.036797	0.001324	0.004225	2.941061	-3485.305
16092	0.019102	0.024867	0.001172	0.003752	2.601339	-3500.394
16096	0.019387	0.033897	0.001533	0.003752	3.081583	-3496.990
16100	0.020222	0.020738	0.001394	0.004003	1.494037	-3497.460
16104	0.021387	0.022708	0.001330	0.004003	1.494037	-3509.435
16108	0.016877	0.017807	0.001452	0.003333	1.338986	-3485.048
16112	0.015757	0.021304	0.002255	0.003560	1.736716	-3482.863
16116	0.018512	0.018029	0.002742	0.004221	1.243831	-3503.243
16120	0.015185	0.017075	0.001339	0.003198	1.026719	-3511.294
16124	0.015498	0.019869	0.003114	0.003198	1.332430	-3496.609
16128	0.013664	0.019243	0.001513	0.002924	0.803729	-3504.023
16132	0.014751	0.019137	0.002342	0.002924	1.022218	-3504.561
16136	0.018647	0.025200	0.001661	0.003736	1.013267	-3520.264
16140	0.021555	0.025009	0.001890	0.004604	0.730640	-3534.116
16144	0.022763	0.029893	0.002081	0.005103	1.078675	-3510.038
16148	0.020462	0.019987	0.001050	0.004033	1.325882	-3506.296
16152	0.020389	0.025099	0.000802	0.004033	1.462165	-3495.513
16156	0.016856	0.019458	0.000704	0.003221	1.462165	-3500.810
16160	0.019702	0.034097	0.001307	0.003906	1.462165	-3517.815
16164	0.014230	0.027398	0.001465	0.002966	1.804164	-3500.606
16168	0.014611	0.028997	0.002160	0.003194	1.326585	-3496.770
16172	0.018707	0.032202	0.002222	0.003781	1.451830	-3514.454
16176	0.020596	0.037967	0.001598	0.003850	2.103331	-3500.928
16180	0.018709	0.033924	0.001995	0.003493	1.739114	-3506.748
16184	0.017481	0.025470	0.001930	0.003101	1.638777	-3535.371
16188	0.018251	0.034062	0.001494	0.003535	1.271152	-3531.331
16192	0.017130	0.039853	0.002095	0.003535	2.360940	-3503.044
16196	0.018485	0.038355	0.002152	0.003444	1.234566	-3500.976
16200	0.021895	0.034885	0.002632	0.003938	1.382813	-3517.058
16204	0.015602	0.033143	0.003356	0.003551	1.338734	-3524.372
16208	0.015442	0.028630	0.003400	0.003551	1.507145	-3534.837
16212	0.013650	0.040264	0.002116	0.003234	2.196901	-3511.850
16216	0.014368	0.032766	0.003357	0.003344	2.196901	-3532.152
16220	0.018186	0.031802	0.003115	0.003924	2.046301	-3520.436
16224	0.021398	0.034448	0.002673	0.003760	2.367150	-3521.921
16228	0.019849	0.034949	0.003610	0.003760	1.675419	-3508.501
16232	0.021346	0.032607	0.003133	0.003814	1.796336	-3525.994
16236	0.019554	0.031659	0.003202	0.003415	1.574171	-3520.413
16240	0.019286	0.027596	0.004265	0.003415	2.180599	-3506.715
16244	0.022630	0.031258	0.002470	0.003938	2.304246	-3493.449
16248	0.020059	0.025619	0.001401	0.003269	1.573203	-3518.571
16252	0.019947	0.035084	0.002391	0.003699	2.163515	-3522.872
16256	0.016585	0.029835	0.001843	0.003001	2.526255	-3486.345
16260	0.018593	0.026876	0.002207	0.003616	1.910402	-3489.564
16264	0.017130	0.027735	0.001433	0.003498	1.022616	-3502.781
16268	0.017440	0.026217	0.002439	0.003597	1.022616	-3508.659
16272	0.017591	0.023059	0.001594	0.003279	1.646688	-3504.610
16276	0.016829	0.028505	0.002358	0.003408	1.062979	-3513.626
16280	0.017533	0.029373	0.002416	0.003696	1.678285	-3496.909
16284	0.018089	0.030032	0.002452	0.003696	1.488334	-3521.847
16288	0.016837	0.035378	0.001731	0.003311	1.987537	-3522.264
16292	0.016546	0.032393	0.001631	0.003120	2.363214	-3539.382
16296	0.016167	0.024552	0.002326	0.003120	1.633511	-3521.529
16300	0.016589	0.023686	0.002063	0.003071	1.276499	-3502.128
16304	0.017932	0.029003	0.001762	0.003556	1.708105	-3511.918
16308	0.016519	0.025584	0.001324	0.003556	1.268466	-3510.837
16312	0.017404	0.024645	0.000785	0.003556	1.849018	-3527.258
16316	0.017668	0.023645	0.001188	0.003471	1.877934	-3519.046
16320	0.016211	0.023979	0.001291	0.003240	2.130928	-3497.922
16324	0.018171	0.026491	0.001087	0.003425	2.196666	-3508.332
