Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_green->red	lnL
4	0.012756	0.017422	0.003876	0.030969	0.693959	-3500.086
8	0.014239	0.016158	0.002201	0.033348	0.693959	-3496.150
12	0.010588	0.013189	0.002086	0.028080	0.747659	-3500.259
16	0.012422	0.015456	0.001302	0.032888	0.653743	-3515.473
20	0.012759	0.013312	0.001456	0.032888	0.835648	-3499.705
24	0.010946	0.011189	0.000674	0.026666	0.835648	-3493.821
28	0.008566	0.011057	0.002365	0.023072	0.835648	-3499.636
32	0.008076	0.009771	0.002066	0.020262	0.835648	-3517.420
36	0.008189	0.011999	0.003701	0.022596	0.688724	-3512.671
40	0.009825	0.011633	0.002156	0.024527	0.900955	-3490.527
44	0.011413	0.013005	0.001585	0.026126	0.682652	-3509.411
48	0.012422	0.011897	0.001993	0.029064	0.682652	-3489.163
52	0.013336	0.014208	0.001675	0.031046	0.947597	-3510.999
56	0.012972	0.013209	0.001117	0.028390	0.685121	-3513.291
60	0.013588	0.013259	0.006019	0.029230	0.707866	-3507.709
64	0.010848	0.011457	0.002028	0.023901	1.266963	-3514.051
68	0.012357	0.013590	0.002464	0.023901	0.931822	-3517.532
72	0.011264	0.014822	0.002657	0.023868	0.948393	-3504.307
76	0.009133	0.014939	0.001257	0.022498	0.858500	-3495.384
80	0.010589	0.013756	0.002034	0.022498	0.858500	-3511.848
84	0.008550	0.011069	0.000940	0.017704	0.607371	-3507.983
88	0.008293	0.008519	0.001256	0.016384	0.997267	-3530.997
92	0.008251	0.008204	0.000670	0.014733	0.997267	-3515.111
96	0.007090	0.010270	0.007994	0.014473	0.680606	-3522.952
100	0.007187	0.009799	0.000899	0.014636	0.680606	-3514.512
104	0.007296	0.010491	0.008791	0.015547	0.680606	-3491.360
108	0.007691	0.010567	0.001105	0.015720	0.680606	-3504.693
112	0.007596	0.009348	0.003138	0.015720	1.021407	-3496.011
116	0.008152	0.008283	0.000941	0.015556	0.769711	-3510.285
