traits	lat	long
AA925	-7.6	-35.3667
AA936	-7.6	-35.3667
AA946	-7.6	-35.3667
AA947	-7.6	-35.3667
AA948	-7.6	-35.3667
AA949	-7.6	-35.3667
BC726	-8.3667	-36.0167
BC727	-8.3667	-36.0167
BC728	-8.3667	-36.0167
BC729	-8.3667	-36.0167
BC730	-8.3667	-36.0167
BC763	-8.3667	-36.0167
BC765	-8.3667	-36.0167
BC766	-8.3667	-36.0167
BC770	-8.3667	-36.0167
BMD376	-8.2	-36.4
BMD377	-8.2	-36.4
BMD826	-8.2	-36.4
BMD830	-8.2	-36.4
BMD840	-8.2	-36.4
FC1015	-8.7167	-35.8333
FC1020	-8.7167	-35.8333
FC1037	-8.7167	-35.8333
FC1038	-8.7167	-35.8333
FC1058	-8.7167	-35.8333
FC1059	-8.7167	-35.8333
FC1065	-8.7167	-35.8333
FC481	-8.7167	-35.8333
SM1553	-3.8833	-38.7167
SM1577	-3.8833	-38.7167
SM1578	-3.8833	-38.7167
SM1580	-3.8833	-38.7167
SM1581	-3.8833	-38.7167
SM1582	-3.8833	-38.7167
SM1587	-3.8833	-38.7167
TAP1474	-8.0167	-35.1833
TAP1475	-8.0167	-35.1833
TAP1476	-8.0167	-35.1833
TAP1477	-8.0167	-35.1833
TAP1479	-8.0167	-35.1833
TAP1480	-8.0167	-35.1833
TAP1483	-8.0167	-35.1833
