,Norte,       Sul
AA925-1,1,0
AA925-2,1,0
AA936-1,1,0
AA936-2,1,0
AA946-1,1,0
AA946-2,1,0
AA947-1,1,0
AA947-2,1,0
AA948-1,1,0
AA948-2,1,0
AA949-1,1,0
AA949-2,1,0
BC726-1,0,1
BC726-2,0,1
BC727-1,0,1
BC727-2,0,1
BC728-1,0,1
BC728-2,0,1
BC729-1,0,1
BC729-2,0,1
BC730-1,0,1
BC730-2,0,1
BC763-1,0,1
BC763-2,0,1
BC765-1,0,1
BC765-2,0,1
BC766-1,0,1
BC766-2,0,1
BC770-1,0,1
BC770-2,0,1
BMD376-1,0,1
BMD376-2,0,1
BMD377-1,0,1
BMD377-2,0,1
BMD826-1,0,1
BMD826-2,0,1
BMD830-1,0,1
BMD830-2,0,1
BMD840-1,0,1
BMD840-2,0,1
FC1015-1,0,1
FC1015-2,0,1
FC1020-1,0,1
FC1020-2,0,1
FC1037-1,0,1
FC1037-2,0,1
FC1038-1,0,1
FC1038-2,0,1
FC1058-1,0,1
FC1058-2,0,1
FC1059-1,0,1
FC1059-2,0,1
FC1065-1,0,1
FC1065-2,0,1
FC481-1,0,1
FC481-2,0,1
SM1553-1,1,0
SM1553-2,1,0
SM1577-1,1,0
SM1577-2,1,0
SM1578-1,1,0
SM1578-2,1,0
SM1580-1,1,0
SM1580-2,1,0
SM1581-1,1,0
SM1581-2,1,0
SM1582-1,1,0
SM1582-2,1,0
SM1587-1,1,0
SM1587-2,1,0
TAP1474-1,1,0
TAP1474-2,1,0
TAP1475-1,1,0
TAP1475-2,1,0
TAP1476-1,1,0
TAP1476-2,1,0
TAP1477-1,1,0
TAP1477-2,1,0
TAP1479-1,1,0
TAP1479-2,1,0
TAP1480-1,1,0
TAP1480-2,1,0
TAP1483-1,1,0
TAP1483-2,1,0
